Label1,Label2,nflId,frame.id,playId
Go,Post,2530515.0,15,68
Go,Post,2530515.0,16,68
Go,Post,2530515.0,17,68
Go,Post,2530515.0,18,68
Go,Post,2530515.0,19,68
Go,Post,2530515.0,20,68
Go,Post,2530515.0,21,68
Go,Post,2530515.0,22,68
Go,Post,2530515.0,23,68
Go,Post,2530515.0,24,68
Go,Post,2530515.0,25,68
Go,Post,2530515.0,26,68
Go,Post,2530515.0,27,68
Go,Post,2530515.0,28,68
Go,Post,2530515.0,29,68
Go,Post,2530515.0,30,68
Go,Post,2530515.0,31,68
Go,Post,2530515.0,32,68
Go,Post,2530515.0,33,68
Go,Post,2530515.0,34,68
Go,Post,2530515.0,35,68
Go,Post,2530515.0,36,68
Go,Post,2530515.0,37,68
Go,Post,2530515.0,38,68
Go,Post,2530515.0,39,68
Go,Post,2530515.0,40,68
Go,Post,2530515.0,41,68
Go,Post,2530515.0,42,68
Go,Post,2530515.0,43,68
Go,Post,2530515.0,44,68
Go,Post,2530515.0,45,68
Go,Post,2530515.0,46,68
Go,Post,2530515.0,47,68
Go,Post,2530515.0,48,68
Go,Post,2530515.0,49,68
Go,Post,2530515.0,50,68
Go,Post,2530515.0,51,68
Go,Post,2530515.0,52,68
Go,Post,2530515.0,53,68
Go,Post,2530515.0,54,68
Go,Post,2530515.0,55,68
Go,Post,2530515.0,56,68
Go,Post,2530515.0,57,68
Go,Post,2530515.0,58,68
Go,Post,2530515.0,59,68
Go,Post,2530515.0,60,68
Go,Post,2530515.0,61,68
Go,Post,2530515.0,62,68
Go,Post,2530515.0,63,68
Go,Post,2530515.0,64,68
Go,Post,2530515.0,65,68
Go,Post,2530515.0,66,68
Go,Post,2530515.0,67,68
Go,Post,2530515.0,68,68
Go,Post,2530515.0,69,68
Go,Post,2530515.0,70,68
Go,Go,2543498.0,15,68
Go,Go,2543498.0,16,68
Go,Go,2543498.0,17,68
Go,Go,2543498.0,18,68
Go,Go,2543498.0,19,68
Go,Go,2543498.0,20,68
Go,Go,2543498.0,21,68
Go,Go,2543498.0,22,68
Go,Go,2543498.0,23,68
Go,Go,2543498.0,24,68
Go,Go,2543498.0,25,68
Go,Go,2543498.0,26,68
Go,Go,2543498.0,27,68
Go,Go,2543498.0,28,68
Go,Go,2543498.0,29,68
Go,Go,2543498.0,30,68
Go,Go,2543498.0,31,68
Go,Go,2543498.0,32,68
Go,Go,2543498.0,33,68
Go,Go,2543498.0,34,68
Go,Go,2543498.0,35,68
Go,Go,2543498.0,36,68
Go,Go,2543498.0,37,68
Go,Go,2543498.0,38,68
Go,Go,2543498.0,39,68
Go,Go,2543498.0,40,68
Go,Go,2543498.0,41,68
Go,Go,2543498.0,42,68
Go,Go,2543498.0,43,68
Go,Go,2543498.0,44,68
Go,Go,2543498.0,45,68
Go,Go,2543498.0,46,68
Go,Go,2543498.0,47,68
Go,Go,2543498.0,48,68
Go,Go,2543498.0,49,68
