Label1,Lable2,x,y,event,nflId,displayName,jerseyNumber,team,frame.id,gameId_x,playId,quarter,GameClock,down,yardsToGo,possessionTeam,yardlineSide,yardlineNumber,isSTPlay,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,PositionAbbr,snap_x,snap_y
Go,Post,84.61,19.36,ball_snap,2530515.0,Chris Hogan,15.0,home,15,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,84.6,19.36,,2530515.0,Chris Hogan,15.0,home,16,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,84.59,19.36,,2530515.0,Chris Hogan,15.0,home,17,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,84.5,19.36,,2530515.0,Chris Hogan,15.0,home,18,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,84.2,19.34,,2530515.0,Chris Hogan,15.0,home,19,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,83.66,19.3,,2530515.0,Chris Hogan,15.0,home,20,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,83.09,19.24,,2530515.0,Chris Hogan,15.0,home,21,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,82.55,19.2,,2530515.0,Chris Hogan,15.0,home,22,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,82.02,19.18,,2530515.0,Chris Hogan,15.0,home,23,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
Go,Post,81.48,19.15,,2530515.0,Chris Hogan,15.0,home,24,2017090700,68,1,14:55:00,1,10,NE,NE,27.0,FALSE,27.0,I,,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). T.Brady pass incomplete deep left to D.Allen.",WR,82.87,29.8
